Line,Score,FlashScore,FixFreq,BlockFreq
org.jfree.chart.plot.CategoryPlot#2547,Infinity,2.1018710804075753,3985,7872
org.jfree.chart.plot.CategoryPlot#2486,242.0,3.0872791868566494,548,737
org.jfree.chart.plot.Plot#1385,242.0,2.4732277345773466,4863,8164
org.jfree.chart.axis.AxisState#184,242.0,2.2469209819699216,7330,13545
org.jfree.chart.axis.CategoryLabelPosition#219,242.0,2.2469209819699216,7330,13545
org.jfree.chart.axis.CategoryLabelPosition#228,242.0,2.2469209819699216,7330,13545
org.jfree.chart.plot.CategoryPlot#708,242.0,2.2469209819699216,7330,13545
org.jfree.chart.plot.CategoryPlot#2565,242.0,2.1841785778927028,9199,17487
org.jfree.chart.plot.CategoryPlot#2690,242.0,2.1841785778927028,9199,17487
org.jfree.chart.plot.CategoryPlot#2698,242.0,2.1841785778927028,9199,17487
org.jfree.chart.axis.AxisState#193,242.0,2.1018710804075753,3985,7872
org.jfree.chart.axis.CategoryAxis#989,242.0,2.1018710804075753,3985,7872
org.jfree.chart.plot.CategoryPlot#723,242.0,2.1018710804075753,3985,7872
org.jfree.chart.plot.CategoryPlot#818,242.0,2.1018710804075753,3985,7872
org.jfree.chart.plot.CategoryPlot#978,242.0,2.1018710804075753,3985,7872
org.jfree.chart.plot.CategoryPlot#2439,242.0,1.468129054781369,64,181
org.jfree.chart.plot.CategoryPlot#3105,242.0,1.4306697694416757,276,801
org.jfree.chart.plot.CategoryPlot#2433,242.0,1.1663068772622358,25,89
org.jfree.chart.plot.CategoryPlot#1734,242.0,1.150123813603146,1962,7083
org.jfree.chart.plot.CategoryPlot#2441,242.0,1.150123813603146,1962,7083
org.jfree.chart.plot.CategoryPlot#2488,242.0,1.150123813603146,1962,7083
org.jfree.chart.plot.CategoryPlot#2689,242.0,1.150123813603146,1962,7083
org.jfree.chart.plot.CategoryPlot#2697,242.0,1.150123813603146,1962,7083
org.jfree.chart.plot.CategoryPlot#3108,242.0,1.150123813603146,1962,7083
org.jfree.chart.plot.CategoryPlot#3104,242.0,1.0814387708897935,193,741
org.jfree.chart.plot.CategoryPlot#2443,242.0,1.0749969611706365,218,842
org.jfree.chart.plot.CategoryPlot#2490,242.0,1.0749969611706365,218,842
org.jfree.chart.plot.CategoryPlot#2415,242.0,1.0322782416431502,360,1448
org.jfree.chart.plot.CategoryPlot#2470,242.0,1.0322782416431502,360,1448
org.jfree.chart.axis.CategoryLabelPositions#290,242.0,1.0220659918131145,705,2864
org.jfree.chart.plot.CategoryPlot#1728,242.0,1.0220659918131145,705,2864
org.jfree.chart.axis.CategoryAxis#771,242.0,0.9391881038642421,670,2962
org.jfree.chart.plot.CategoryPlot#817,242.0,0.9391881038642421,670,2962
